,SaID,AccID,Longitude,Latitude,Ann.Prc,TN,PBR,,,,,,,,,,,,,,,,,,,,,,
1,SEEDGWAS10,CIMMYTMA-000459,-96.87067,19.938631,1239,0.52,2.89,,,,,,,,,,,,,,,,,,,,,,
2,SEEDGWAS1000,CIMMYTMA-019857,-99.634229,21.83299,635,0.24,17.31,,,,,,,,,,,,,,,,,,,,,,
3,SEEDGWAS1001,CIMMYTMA-019920,-99.653771,22.023366,595,0.24,18.17,,,,,,,,,,,,,,,,,,,,,,
4,SEEDGWAS1003,CIMMYTMA-020361,-89.732539,20.485433,1142,0.66,5.33,,,,,,,,,,,,,,,,,,,,,,
5,SEEDGWAS1004,CIMMYTMA-020401,-97.382255,20.969048,1269,0.15,7.97,,,,,,,,,,,,,,,,,,,,,,
6,SEEDGWAS1009,CIMMYTMA-023172,-88.05,19.58333333,1237,0.79,5.68,,,,,,,,,,,,,,,,,,,,,,
7,SEEDGWAS101,CIMMYTMA-001759,-97.382222,20.43027778,1285,0.15,3.46,,,,,,,,,,,,,,,,,,,,,,
8,SEEDGWAS1011,CIMMYTMA-023203,-92.564373,16.332904,1208,0.43,5.33,,,,,,,,,,,,,,,,,,,,,,
9,SEEDGWAS1012,CIMMYTMA-023208,-92.564373,16.332904,1208,0.43,5.33,,,,,,,,,,,,,,,,,,,,,,
10,SEEDGWAS1014,CIMMYTMA-023246,-98.38333333,21.51666667,1132,0.15,8.13,,,,,,,,,,,,,,,,,,,,,,
11,SEEDGWAS1015,CIMMYTMA-023271,-99.537659,17.167363,1331,0.07,7.74,,,,,,,,,,,,,,,,,,,,,,
12,SEEDGWAS1019,CIMMYTMA-024285,-98.746577,21.296297,1309,0.49,5.8,,,,,,,,,,,,,,,,,,,,,,
13,SEEDGWAS1020,CIMMYTMA-024286,-92.81666667,16.56666667,995,0.43,9.59,,,,,,,,,,,,,,,,,,,,,,
14,SEEDGWAS1022,CIMMYTMA-024297,-93,16.71666667,2003,0.23,9.59,,,,,,,,,,,,,,,,,,,,,,
15,SEEDGWAS1023,CIMMYTMA-024301,-93.26666667,16.25,1184,0.33,3.91,,,,,,,,,,,,,,,,,,,,,,
16,SEEDGWAS1024,CIMMYTMA-024307,-93.26666667,16.2,1226,0.1,3.91,,,,,,,,,,,,,,,,,,,,,,
17,SEEDGWAS1025,CIMMYTMA-024375,-92.81666667,16.56666667,995,0.43,9.59,,,,,,,,,,,,,,,,,,,,,,
18,SEEDGWAS1029,CIMMYTMA-024953,-93.71666667,16.7,851,0.43,7.07,,,,,,,,,,,,,,,,,,,,,,
