"SaID","AccID","Longitude","Latitude","ASV37_bacteria_rhizosphere_CK_pred","ASV37_bacteria_rhizosphere_LN_pred","ASV37_bacteria_rhizosphere_LP_pred","ASV37_bacteria_root_CK_pred","ASV37_bacteria_root_LN_pred","ASV37_bacteria_root_LP_pred","ASV7_bacteria_rhizosphere_CK_pred","ASV7_bacteria_rhizosphere_LN_pred","ASV7_bacteria_root_D_pred","ASV7_bacteria_root_LN_pred"
"SEEDGWAS1195","CIMMYTMA-000815",-88.51666667,20.85,265.715864,384.0776181,263.3149718,72.96945786,65.57356253,86.72762739,466.3622794,807.5543201,516.6028108,782.064033
"SEEDGWAS2501","CIMMYTMA-013513",-102.194513,21.942148,293.269662,384.0776431,263.3149794,74.20415546,75.88139753,88.83280017,464.8720947,797.3738412,566.970006,822.7361624
"SEEDGWAS4798","CIMMYTMA-023852",-102.701138,21.858917,297.2755639,384.0779675,263.3149585,73.7502967,82.63175723,86.79666761,440.893286,821.8056727,564.3343011,762.786293
"SEEDGWAS3779","CIMMYTMA-023854",-102.362002,22.231913,290.0828362,384.0775742,263.3149662,74.43745001,76.27925698,94.93187741,442.2354856,801.297294,605.3748142,902.8301522
"SEEDGWAS4660","CIMMYTMA-018336",-102.764636,21.851035,297.0530953,384.0779682,263.3149627,72.78271783,83.60121503,86.759385,439.0358116,821.5931311,553.9053499,762.7828434
"SEEDGWAS3653","CIMMYTMA-024750",-102.411485,22.160244,293.3795856,384.077654,263.3149619,74.39434412,74.49653704,94.64115661,445.984023,801.3047453,601.2692652,815.8607513
"SEEDGWAS3108","CIMMYTMA-026975",-102.212362,22.233853,296.4196434,384.077599,263.3149529,74.24522422,76.11877951,88.05924459,443.7297027,796.773725,567.9631797,755.7829347
"SEEDGWAS3123","CIMMYTMA-027019",-102.212362,22.233853,296.4196434,384.077599,263.3149529,74.24522422,76.11877951,88.05924459,443.7297027,796.773725,567.9631797,755.7829347
"SEEDGWAS2634","CIMMYTMA-024791",-102.243902,22.269581,295.2628703,384.0775881,263.3149526,74.81265702,72.68793286,87.80360855,443.4267311,797.1763593,559.922143,749.4953747
"SEEDGWAS3124","CIMMYTMA-027023",-102.229694,22.287284,295.2628703,384.0775855,263.3149547,74.11936522,72.8693377,87.96513275,443.4267311,796.7819598,560.9364445,756.7431224
